id,item
OIC-178,"Risques émergents, bioterrorisme, maladies hautement transmissibles"
OIC-179,"Risques sanitaires liés à l’eau et à l’alimentation. Toxi-infections alimentaires"
OIC-180,"Risques sanitaires liés aux irradiations. Radioprotection"
OIC-181,"La sécurité sanitaire des produits destinés à l’homme. La veille sanitaire (voir item 325)"
2C-182-,""
OIC-183,"Organisation de la médecine du travail. Prévention des risques professionnels"
OIC-184,"Accidents du travail et maladies professionnelles : définition et enjeux"
OIC-185,"Réaction inflammatoire : aspects biologiques et cliniques. Conduite à tenir"
OIC-186,"Hypersensibilités et allergies chez l’enfant et l’adulte : aspects physiopathologiques, épidémiologiques, diagnostiques et principes de traitement"
OIC-187,"Hypersensibilités et allergies cutanéomuqueuses chez l’enfant et l’adulte. Urticaire, dermatites atopique et de contact"
OIC-188,"Hypersensibilité et allergies respiratoires chez l’enfant et chez l’adulte. Asthme, rhinite"
OIC-189,"Déficit immunitaire"
OIC-190,"Fièvre prolongée"
OIC-191,"Fièvre chez un patient immunodéprimé"
OIC-192,"Pathologies auto-immunes : aspects épidémiologiques, diagnostiques et principes de traitement"
OIC-193,"Connaître les principaux types de vascularite systémique, les organes cibles, les outils diagnostiques et les moyens thérapeutiques"
OIC-194,"Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL)"
OIC-195,"Artérite à cellules géantes"
OIC-196,"Polyarthrite rhumatoïde"
OIC-197,"Spondyloarthrite"
OIC-198,"Arthropathies microcristallines"
OIC-199,"Syndrome douloureux régional complexe (ex algodystrophie)"
OIC-200,"Douleur et épanchement articulaire. Arthrite d’évolution récente"
OIC-201,"Transplantation d’organes : aspects épidémiologiques et immunologiques ; principes de traitement et surveillance ; complications et pronostic ; aspects éthiques et légaux. Prélèvements d’organes et législation"
OIC-202,"Biothérapies et thérapies ciblées"
OIC-203,"Dyspnée aiguë et chronique"
OIC-204,"Toux chez l’enfant et chez l’adulte (avec le traitement)"
OIC-205,"Hémoptysie"
OIC-206,"Épanchement pleural liquidien"
OIC-207,"Opacités et masses intra-thoraciques chez l’enfant et chez l’adulte"
OIC-208,"Insuffisance respiratoire chronique"
OIC-209,"Bronchopneumopathie chronique obstructive chez l’adulte"
OIC-210,"Pneumopathie interstitielle diffuse"
2C-211-,""
OIC-212,"Hémogramme chez l’adulte et l’enfant : indications et interprétation"
OIC-213,"Anémie chez l’adulte et l’enfant"
OIC-214,"Thrombopénie chez l’adulte et l’enfant"
OIC-215,"Purpuras chez l’adulte et l’enfant"
OIC-216,"Syndrome hémorragique d’origine hématologique"
OIC-217,"Syndrome mononucléosique"
OIC-218,"Éosinophilie"
OIC-219,"Pathologie du fer chez l’adulte et l’enfant"
OIC-220,"Adénopathie superficielle de l’adulte et de l’enfant"
OIC-221,"Athérome : épidémiologie et physiopathologie. Le malade poly-athéromateux"
OIC-222,"Facteurs de risque cardio-vasculaire et prévention"
OIC-223,"Dyslipidémies"
OIC-224,"Hypertension artérielle de l’adulte et de l’enfant"
OIC-225,"Artériopathie de l’aorte, des artères viscérales et des membres inférieurs ; anévrysmes"
OIC-226,"Thrombose veineuse profonde et embolie pulmonaire (voir item 330)"
OIC-227,"Insuffisance veineuse chronique. Varices"
OIC-228,"Ulcère de jambe"
OIC-229,"Surveillance et complications des abords veineux"
OIC-230,"Douleur thoracique aiguë"
OIC-231,"Électrocardiogramme : indications et interprétations"
OIC-232,"Fibrillation atriale"
OIC-233,"Valvulopathies"
OIC-234,"Insuffisance cardiaque de l’adulte"
OIC-235,"Péricardite aiguë"
OIC-236,"Troubles de la conduction intracardiaque"
OIC-237,"Palpitations"
OIC-238,"Souffle cardiaque chez l’enfant"
OIC-239,"Acrosyndromes (phénomène de Raynaud, érythermalgie, acrocyanose, engelures, ischémie digitale)"
OIC-240,"Hypoglycémie chez l’adulte et l’enfant"
OIC-241,"Goitre, nodules thyroïdiens et cancers thyroïdiens"
OIC-242,"Hyperthyroïdie"
OIC-243,"Hypothyroïdie"
OIC-244,"Adénome hypophysaire"
OIC-245,"Insuffisance surrénale chez l’adulte et l’enfant"
OIC-246,"Gynécomastie"
OIC-247,"Diabète sucré de type 1 et 2 de l’enfant et de l’adulte. Complications"
OIC-248,"Prévention primaire par la nutrition chez l’adulte et l’enfant"
OIC-249,"Modifications thérapeutiques du mode de vie (alimentation et activité physique) chez l’adulte et l’enfant"
OIC-250,"Dénutrition chez l’adulte et l’enfant"
OIC-251,"Amaigrissement à tous les âges"
OIC-252,"Troubles nutritionnels chez le sujet âgé"
OIC-253,"Obésité de l’enfant et de l’adulte (voir item 71)"
OIC-254,"Besoins nutritionnels de la femme enceinte"
OIC-255,"Diabète gestationnel"
OIC-256,"Aptitude au sport chez l’adulte et l’enfant ; besoins nutritionnels chez le sportif (voir item 80)"
OIC-257,"Œdèmes des membres inférieurs localisés ou généralisés"
OIC-258,"Élévation de la créatininémie"
OIC-259,"Protéinurie et syndrome néphrotique chez l’adulte et de l’enfant"
OIC-260,"Hématurie"
OIC-261,"Néphropathie glomérulaire"
OIC-262,"Néphropathies interstitielles"
OIC-263,"Néphropathies vasculaires"
OIC-264,"Insuffisance rénale chronique chez l’adulte et l’enfant"
OIC-265,"Lithiase urinaire"
OIC-266,"Polykystose rénale"
OIC-267,"Troubles de l’équilibre acido-basique et désordres hydro-électrolytiques"
OIC-268,"Hypercalcémie"
OIC-269,"Douleurs abdominales aiguës chez l’enfant et chez l’adulte"
